time	V(pay)/(D(V(Vind,Vtr))/D(time)+10/280e-9*V(Vind,Vtr))	V(vtr)
2.371213380261455e-007	-9.412970e-009	-1.668318e+000
2.373100211702510e-007	-1.298809e-008	-1.701036e+000
2.374849670810318e-007	-2.277683e-008	-1.720963e+000
2.376598823133818e-007	-8.860294e-008	-1.729544e+000
2.378618869861388e-007	5.734831e-008	-1.727689e+000
2.380467418713058e-007	2.630059e-008	-1.717499e+000
2.382289745094561e-007	2.006613e-008	-1.701779e+000
2.384147041905779e-007	1.843110e-008	-1.682952e+000
2.386132909438668e-007	1.816055e-008	-1.662246e+000
2.387985505925658e-007	2.000674e-008	-1.643984e+000
2.389809530783265e-007	2.350928e-008	-1.628000e+000
2.391784111165889e-007	2.634773e-008	-1.613229e+000
2.393574640358740e-007	3.179296e-008	-1.602074e+000
2.395246458078776e-007	4.020800e-008	-1.593491e+000
2.396898946840550e-007	5.636425e-008	-1.586472e+000
2.398987997871799e-007	6.098379e-008	-1.578990e+000
2.401260339824369e-007	6.061266e-008	-1.571802e+000
2.403511665020027e-007	5.869945e-008	-1.565053e+000
2.405655776217945e-007	5.634959e-008	-1.558463e+000
2.407634285098189e-007	6.250664e-008	-1.551854e+000
2.410092194101347e-007	5.175984e-008	-1.542693e+000
2.412746978398810e-007	4.547518e-008	-1.531592e+000
2.415594861475772e-007	4.159285e-008	-1.518294e+000
2.418805657783948e-007	3.489097e-008	-1.501822e+000
2.421924419137568e-007	3.332744e-008	-1.484498e+000
2.425131334843366e-007	3.296651e-008	-1.465272e+000
2.428848196712970e-007	2.939501e-008	-1.440976e+000
2.432863618527329e-007	2.674522e-008	-1.410976e+000
2.438344382395702e-007	1.691902e-008	-1.361246e+000
2.443010673544008e-007	1.244516e-008	-1.306595e+000
2.446504090589968e-007	9.307110e-009	-1.249449e+000
2.450342743246903e-007	6.309243e-009	-1.158570e+000
2.453811271780440e-007	4.139661e-009	-1.034692e+000
2.457690475008915e-007	2.767901e-009	-8.229939e-001
2.462128705150442e-007	1.937227e-009	-4.655407e-001
2.467333922400348e-007	1.438101e-009	1.185270e-001
2.472936092458142e-007	1.111569e-009	9.487864e-001
2.479350470480101e-007	8.839223e-010	2.157337e+000
2.486927166498880e-007	7.022578e-010	3.946811e+000
2.497933747762676e-007	5.587599e-010	7.252780e+000
2.516583454501269e-007	4.516648e-010	1.425443e+001
2.534078986848114e-007	3.767327e-010	2.224618e+001
2.552814307941349e-007	3.238517e-010	3.223758e+001
2.565306732462620e-007	2.799511e-010	3.987185e+001
2.572743865410019e-007	2.377354e-010	4.526301e+001
2.575410053535545e-007	1.903439e-010	4.767476e+001
2.577151713381766e-007	1.641712e-010	4.956747e+001
2.578251053948941e-007	1.482831e-010	5.090055e+001
2.579412508212461e-007	1.394272e-010	5.241582e+001
2.580698847128397e-007	1.332940e-010	5.418206e+001
2.582216286791461e-007	1.289838e-010	5.634904e+001
2.584117511668447e-007	1.261668e-010	5.914077e+001
2.586568627219519e-007	1.243810e-010	6.280689e+001
2.589785618923435e-007	1.231255e-010	6.767711e+001
2.593807020876481e-007	1.220582e-010	7.381888e+001
2.598281178578050e-007	1.212384e-010	8.070637e+001
2.603908366710421e-007	1.200924e-010	8.944514e+001
2.611200867975889e-007	1.180208e-010	1.009004e+002
2.618830817997861e-007	1.151250e-010	1.131102e+002
2.627409540541670e-007	1.104799e-010	1.272633e+002
2.635653435321150e-007	1.042045e-010	1.415694e+002
2.645690256888448e-007	9.819616e-011	1.601814e+002
2.655923877032126e-007	9.502779e-011	1.801717e+002
2.665403543764895e-007	9.579541e-011	1.988005e+002
2.669799259209788e-007	1.068639e-010	2.069174e+002
2.674366917892037e-007	1.226543e-010	2.144376e+002
2.679288923829240e-007	1.480922e-010	2.213722e+002
2.684503977336084e-007	1.957487e-010	2.272193e+002
2.689762068987895e-007	3.182215e-010	2.313523e+002
2.695597730790434e-007	1.089322e-009	2.337114e+002
2.702346536879490e-007	-6.339266e-010	2.334624e+002
2.710978056196659e-007	-2.572902e-010	2.290760e+002
2.719095527005294e-007	-1.625680e-010	2.212733e+002
2.726468049621582e-007	-1.251697e-010	2.112820e+002
2.734568494881873e-007	-1.106080e-010	1.981191e+002
2.741930097498660e-007	-1.069409e-010	1.851977e+002
2.750226753029330e-007	-1.111853e-010	1.706723e+002
2.760793553929123e-007	-1.189083e-010	1.533082e+002
2.770862600782427e-007	-1.323848e-010	1.382889e+002
2.781612061112331e-007	-1.490123e-010	1.238971e+002
2.794462662871706e-007	-1.697769e-010	1.085041e+002
2.812915174023015e-007	-1.902389e-010	8.898243e+001
2.833059310338778e-007	-2.172237e-010	7.053967e+001
2.848308621809684e-007	-2.706144e-010	5.896563e+001
2.860762762562021e-007	-3.557797e-010	5.163939e+001
2.870186318217908e-007	-4.790158e-010	4.758853e+001
2.875073505412660e-007	-7.215190e-010	4.610418e+001
2.881446471711803e-007	-9.270624e-010	4.467878e+001
